date,complaint_count,v_conf,weekly_score_0_100
2025-09-28,3,0.0234192037470726,48.82903981264637
2025-10-05,104,0.8118657298985168,9.40671350507416
2025-10-12,129,1.0,0.0
2025-10-19,109,0.8508977361436378,7.455113192818108
2025-10-26,102,0.7962529274004684,10.187353629976581
2025-11-02,91,0.7103825136612022,14.48087431693989
2025-11-09,127,0.9914129586260734,0.42935206869633147
2025-11-16,113,0.8821233411397347,5.893832943013266
2025-11-23,77,0.6010928961748634,19.94535519125683
2025-11-30,3,0.0234192037470726,48.82903981264637
